Date,KO,PEP
2015-03-10,29.18268394470215,69.67557525634766
2015-03-11,28.759531021118164,69.08531188964844
2015-03-12,29.338058471679688,70.62004089355469
2015-03-13,28.86078643798828,69.59440612792969
2015-03-16,29.13558006286621,70.42819213867188
2015-03-17,29.29467010498047,69.45423126220703
2015-03-18,29.359745025634766,69.8305435180664
2015-03-19,28.940332412719727,69.43211364746094
2015-03-20,29.39590072631836,70.34701538085938
2015-03-23,29.374223709106445,70.72332763671875
2015-03-24,29.26573944091797,70.73072052001953
2015-03-25,29.251272201538086,70.2879867553711
2015-03-26,29.17896270751953,70.56099700927734
2015-03-27,28.98371124267578,70.79710388183594
2015-03-30,29.29467010498047,71.21768951416016
2015-03-31,29.323589324951172,70.55359649658203
2015-04-01,29.4176025390625,70.16253662109375
2015-04-02,29.4176025390625,70.60527801513672
2015-04-06,29.771940231323242,71.18818664550781
2015-04-07,29.656240463256836,70.98893737792969
2015-04-08,29.56946563720703,70.85614776611328
2015-04-09,29.68515968322754,71.09225463867188
2015-04-10,29.562231063842773,70.98157501220703
2015-04-13,29.432069778442383,70.48722076416016
2015-04-14,29.29467010498047,71.19554901123047
2015-04-15,29.215120315551758,71.2988510131836
2015-04-16,29.359745025634766,71.16605377197266
2015-04-17,29.142812728881836,70.69380187988281
2015-04-20,29.40314483642578,71.20293426513672
2015-04-21,29.48992156982422,71.40950775146484
2015-04-22,29.873193740844727,71.7784652709961
2015-04-23,29.61285400390625,70.63481140136719
2015-04-24,29.56946563720703,70.22161102294922
2015-04-27,29.526079177856445,69.7198486328125
2015-04-28,29.482690811157227,69.66820526123047
2015-04-29,29.28021240234375,69.63867950439453
2015-04-30,29.330829620361328,70.18470001220703
2015-05-01,29.58392906188965,70.50933837890625
2015-05-04,29.62008285522461,70.79710388183594
2015-05-05,29.468219757080078,70.40607452392578
2015-05-06,29.40314483642578,70.45035552978516
2015-05-07,29.432069778442383,70.20685577392578
2015-05-08,29.634538650512695,71.23982238769531
2015-05-11,29.60562515258789,71.09225463867188
2015-05-12,29.42483139038086,70.98157501220703
2015-05-13,29.68515968322754,71.13652801513672
2015-05-14,30.01058006286621,72.30973052978516
2015-05-15,30.025043487548828,72.4720458984375
2015-05-18,29.880409240722656,72.34661102294922
2015-05-19,29.873193740844727,72.2728271484375
2015-05-20,29.902103424072266,72.08099365234375
2015-05-21,29.81534194946289,71.71945190429688
2015-05-22,29.800874710083008,71.0258560180664
2015-05-26,29.641786575317383,70.6790542602539
2015-05-27,29.735788345336914,71.1144027709961
2015-05-28,29.750246047973633,71.61613464355469
2015-05-29,29.62008285522461,71.15128326416016
2015-06-01,29.60562515258789,70.81188201904297
2015-06-02,29.641786575317383,70.87091064453125
2015-06-03,29.55500602722168,70.83597564697266
2015-06-04,29.352516174316406,69.97371673583984
2015-06-05,28.99817657470703,69.16356658935547
2015-06-08,29.041566848754883,69.00747680664062
2015-06-09,29.070497512817383,69.17842102050781
2015-06-10,29.164499282836914,69.63928985595703
2015-06-11,29.23740577697754,69.93657684326172
2015-06-12,29.135326385498047,69.6764144897461
2015-06-15,28.865562438964844,68.85879516601562
2015-06-16,29.222829818725586,69.53519439697266
2015-06-17,29.361358642578125,69.90687561035156
2015-06-18,29.638427734375,70.78394317626953
2015-06-19,29.456144332885742,70.50892639160156
2015-06-22,29.514480590820312,71.05896759033203
2015-06-23,29.44156265258789,71.05896759033203
2015-06-24,29.303028106689453,70.82852935791016
2015-06-25,29.17908477783203,70.48664093017578
2015-06-26,29.16449546813965,70.54605865478516
2015-06-29,28.727039337158203,69.63928985595703
2015-06-30,28.603086471557617,69.3791275024414
2015-07-01,28.799949645996094,70.25621032714844
2015-07-02,28.79265022277832,70.36026763916016
2015-07-06,28.74161720275879,70.16700744628906
2015-07-07,29.346773147583008,71.6535873413086
2015-07-08,29.062423706054688,71.06639862060547
2015-07-09,29.106176376342773,70.3082275390625
2015-07-10,29.4488525390625,71.02179718017578
2015-07-13,29.645723342895508,72.26309204101562
2015-07-14,30.01755714416504,72.1961898803711
2015-07-15,29.988399505615234,71.61643981933594
2015-07-16,30.243581771850586,72.02523803710938
2015-07-17,30.075889587402344,71.93604278564453
2015-07-20,30.17066764831543,72.32999420166016
2015-07-21,30.032148361206055,72.04755401611328
