Date,JPM,BAC
2015-04-06,45.7324333190918,12.47884750366211
2015-04-07,46.019813537597656,12.438621520996094
2015-04-08,46.171077728271484,12.559301376342773
2015-04-09,46.48871612548828,12.639763832092285
2015-04-10,46.662662506103516,12.647807121276855
2015-04-13,46.94248580932617,12.71217155456543
2015-04-14,47.676082611083984,12.728261947631836
2015-04-15,48.560935974121094,12.583439826965332
2015-04-16,48.258419036865234,12.704124450683594
2015-04-17,47.52482604980469,12.519072532653809
2015-04-20,47.827335357666016,12.527121543884277
2015-04-21,47.1240119934082,12.470803260803223
2015-04-22,47.6004524230957,12.663897514343262
2015-04-23,47.49458312988281,12.62367057800293
2015-04-24,47.343318939208984,12.583439826965332
2015-04-27,47.146690368652344,12.519072532653809
2015-04-28,47.464324951171875,12.591485023498535
2015-04-29,48.099609375,12.856993675231934
2015-04-30,47.84247970581055,12.816765785217285
2015-05-01,48.107154846191406,12.961588859558105
2015-05-04,48.9466438293457,13.227094650268555
2015-05-05,48.70463180541992,13.154685020446777
2015-05-06,48.34160614013672,13.106411933898926
2015-05-07,48.78025436401367,13.066180229187012
2015-05-08,49.52898025512695,13.235143661499023
2015-05-11,49.49872589111328,13.267324447631836
2015-05-12,49.4306526184082,13.219050407409668
2015-05-13,49.55165481567383,13.251230239868164
2015-05-14,49.95249938964844,13.291460990905762
2015-05-15,49.82392883300781,13.154685020446777
2015-05-18,50.23231506347656,13.283416748046875
2015-05-19,50.67852020263672,13.492603302001953
2015-05-20,50.277687072753906,13.468467712402344
2015-05-21,50.4062614440918,13.460416793823242
2015-05-22,50.27013397216797,13.476511001586914
2015-05-26,49.710487365722656,13.275369644165039
2015-05-27,50.27013397216797,13.468467712402344
2015-05-28,50.0659294128418,13.412148475646973
2015-05-29,49.7483024597168,13.275369644165039
2015-06-01,49.975181579589844,13.315596580505371
2015-06-02,49.929805755615234,13.452376365661621
2015-06-03,50.44407653808594,13.662188529968262
2015-06-04,50.16425704956055,13.541143417358398
2015-06-05,50.988590240478516,13.8720064163208
2015-06-08,50.5877799987793,13.783235549926758
2015-06-09,50.80710983276367,13.968842506408691
2015-06-10,51.623897552490234,14.194793701171875
2015-06-11,51.82050704956055,14.114100456237793
2015-06-12,51.61631393432617,14.114100456237793
2015-06-15,51.41969680786133,14.097959518432617
2015-06-16,51.70706558227539,14.162510871887207
2015-06-17,51.53313064575195,14.017264366149902
2015-06-18,52.01715087890625,14.025333404541016
2015-06-19,51.48774337768555,13.855868339538574
2015-06-22,52.153289794921875,14.097959518432617
2015-06-23,52.75075149536133,14.259355545043945
2015-06-24,52.19866180419922,14.114100456237793
2015-06-25,51.918819427490234,14.017264366149902
