Date,LMT,NOC
2016-07-29,199.22286987304688,187.42901611328125
2016-08-01,200.8861541748047,187.48094177246094
2016-08-02,202.5888671875,189.20266723632812
2016-08-03,202.47067260742188,189.1853790283203
2016-08-04,203.1800994873047,188.9084930419922
2016-08-05,205.18234252929688,189.43629455566406
2016-08-08,205.1034698486328,186.94447326660156
2016-08-09,205.47398376464844,187.52426147460938
2016-08-10,205.9784393310547,187.90484619140625
2016-08-11,206.9559783935547,188.60568237304688
2016-08-12,208.22509765625,188.7960968017578
2016-08-15,210.07752990722656,190.18031311035156
2016-08-16,202.40756225585938,187.835693359375
2016-08-17,201.51683044433594,189.09019470214844
2016-08-18,201.34335327148438,188.73548889160156
2016-08-19,200.3185577392578,188.1125030517578
2016-08-22,200.3817138671875,188.8392791748047
2016-08-23,196.87379455566406,185.5861053466797
2016-08-24,195.5889129638672,185.15357971191406
2016-08-25,195.91212463378906,185.44891357421875
2016-08-26,192.68798828125,184.13693237304688
2016-08-29,192.57766723632812,185.153564453125
2016-08-30,190.03802490234375,184.7364501953125
2016-08-31,192.8316650390625,184.25863647460938
2016-09-01,193.33953857421875,184.0501251220703
2016-09-02,193.1094207763672,185.2751007080078
2016-09-06,192.8554229736328,186.5958251953125
2016-09-07,191.56175231933594,184.94500732421875
2016-09-08,191.76815795898438,184.83201599121094
2016-09-09,188.83958435058594,181.79974365234375
2016-09-12,189.5221710205078,182.6946563720703
2016-09-13,188.41897583007812,181.03514099121094
2016-09-14,188.41897583007812,181.4261474609375
2016-09-15,189.75230407714844,183.66773986816406
2016-09-16,188.4507293701172,183.32891845703125
2016-09-19,191.17291259765625,183.4679718017578
2016-09-20,190.85545349121094,184.29336547851562
2016-09-21,193.50624084472656,187.54287719726562
2016-09-22,195.72842407226562,188.0989532470703
2016-09-23,195.109375,188.5855255126953
2016-09-26,194.86334228515625,188.5421142578125
2016-09-27,195.06973266601562,189.45437622070312
2016-09-28,195.03794860839844,189.32398986816406
2016-09-29,192.33164978027344,185.59661865234375
2016-09-30,190.25228881835938,185.89207458496094
2016-10-03,190.93478393554688,186.89122009277344
2016-10-04,188.17294311523438,184.91893005371094
2016-10-05,187.77610778808594,184.61485290527344
2016-10-06,186.28404235839844,186.1179962158203
2016-10-07,185.33963012695312,187.177978515625
2016-10-10,185.149169921875,188.21189880371094
2016-10-11,184.00631713867188,186.99551391601562
2016-10-12,184.20472717285156,188.41172790527344
2016-10-13,184.9110565185547,189.73240661621094
2016-10-14,184.57772827148438,190.2102508544922
2016-10-17,184.7364501953125,190.4014129638672
2016-10-18,184.75230407714844,190.66209411621094
2016-10-19,184.38729858398438,189.54994201660156
2016-10-20,183.9904327392578,188.85482788085938
2016-10-21,182.95077514648438,187.5515899658203
2016-10-24,184.2523651123047,188.07290649414062
2016-10-25,197.82366943359375,190.7402801513672
2016-10-26,198.48239135742188,198.14295959472656
2016-10-27,197.2443084716797,195.79702758789062
2016-10-28,196.82366943359375,198.42965698242188
2016-10-31,195.5379638671875,198.96836853027344
2016-11-01,194.4268341064453,198.46438598632812
2016-11-02,194.53004455566406,198.681640625
2016-11-03,189.44276428222656,195.9620819091797
2016-11-04,187.5221710205078,195.69271850585938
2016-11-07,189.89515686035156,199.8893585205078
2016-11-08,189.83163452148438,199.72425842285156
2016-11-09,201.15692138671875,210.524169921875
2016-11-10,204.18069458007812,213.0177764892578
2016-11-11,205.6886749267578,215.04220581054688
