Date,V,MA
2015-12-29,74.12657165527344,94.15338134765625
2015-12-30,73.32172393798828,93.35088348388672
2015-12-31,72.57307434082031,91.92513275146484
2016-01-04,70.84182739257812,89.51746368408203
2016-01-05,71.37523651123047,89.68745422363281
2016-01-06,70.43939971923828,88.31563568115234
2016-01-07,69.05440521240234,86.6978530883789
2016-01-08,68.20277404785156,85.04222106933594
2016-01-11,69.17606353759766,85.69501495361328
2016-01-12,69.962158203125,86.50863647460938
2016-01-13,68.40868377685547,84.37998962402344
2016-01-14,69.06375122070312,85.8179931640625
2016-01-15,67.22016906738281,83.92586517333984
2016-01-19,66.80843353271484,81.57015228271484
2016-01-20,66.14395904541016,80.53893280029297
2016-01-21,66.96752166748047,81.47555541992188
2016-01-22,68.0343246459961,83.25411987304688
2016-01-25,67.13594818115234,82.09048461914062
2016-01-26,67.26696014404297,82.30807495117188
2016-01-27,66.35921478271484,80.23619842529297
2016-01-28,64.8806381225586,78.93062591552734
2016-01-29,69.70945739746094,84.2286148071289
2016-02-01,69.60652923583984,83.85018920898438
2016-02-02,68.6894302368164,81.2957763671875
2016-02-03,69.60652923583984,81.80668640136719
2016-02-04,68.95145416259766,81.67422485351562
2016-02-05,66.94880676269531,78.2967529296875
2016-02-08,63.42074203491211,76.3005599975586
2016-02-09,63.94480514526367,77.54934692382812
2016-02-10,65.64797973632812,78.81709289550781
2016-02-11,64.07576751708984,77.68180847167969
2016-02-12,65.90065002441406,80.3118667602539
2016-02-16,66.53703308105469,81.53231811523438
2016-02-17,67.54032897949219,82.50679016113281
2016-02-18,66.7995834350586,81.39988708496094
2016-02-19,67.07150268554688,82.10941314697266
2016-02-22,68.50614166259766,83.08386993408203
2016-02-23,67.65284729003906,81.5606689453125
2016-02-24,67.37152099609375,81.75936126708984
2016-02-25,68.70303344726562,82.70541381835938
2016-02-26,68.19671630859375,82.84736633300781
2016-02-29,67.8779067993164,82.23237609863281
2016-03-01,69.98763275146484,85.24091339111328
2016-03-02,69.6688232421875,85.04222106933594
2016-03-03,69.30314636230469,84.90029907226562
2016-03-04,69.29377746582031,85.19361114501953
2016-03-07,67.45594787597656,83.53797912597656
2016-03-08,66.21822357177734,82.16618347167969
2016-03-09,66.27445220947266,82.47835540771484
2016-03-10,65.8431396484375,82.2040023803711
2016-03-11,67.16525268554688,83.80288696289062
2016-03-14,67.03398895263672,84.07723236083984
2016-03-15,67.42780303955078,84.54081726074219
2016-03-16,67.8591537475586,85.15574645996094
2016-03-17,68.5811538696289,86.4802474975586
2016-03-18,69.1812515258789,87.33174133300781
2016-03-21,69.17185974121094,87.36953735351562
2016-03-22,68.412353515625,86.8113784790039
2016-03-23,69.30314636230469,87.16143035888672
2016-03-24,69.518798828125,86.95330047607422
2016-03-28,69.46256256103516,86.31942749023438
2016-03-29,70.68151092529297,87.77635955810547
2016-03-30,71.9942626953125,88.75083923339844
2016-03-31,71.71298217773438,89.40361022949219
2016-04-01,72.7537612915039,90.69973754882812
2016-04-04,72.97884368896484,89.9239501953125
2016-04-05,72.17240905761719,89.26170349121094
2016-04-06,73.33512115478516,89.82100677490234
2016-04-07,72.7444076538086,88.6455078125
2016-04-08,73.16635131835938,88.91094970703125
2016-04-11,72.96944427490234,88.60759735107422
2016-04-12,73.62581634521484,88.97733306884766
2016-04-13,74.74163055419922,90.76899719238281
2016-04-14,75.32299041748047,91.16714477539062
2016-04-15,75.0886001586914,91.65062713623047
2016-04-18,76.37317657470703,92.58909606933594
2016-04-19,75.71681213378906,92.18148040771484
2016-04-20,76.09188842773438,92.8071517944336
2016-04-21,75.75433349609375,92.46588897705078
2016-04-22,74.17901611328125,92.38053894042969
2016-04-25,73.26950073242188,91.93502044677734
2016-04-26,73.63518524169922,92.20992279052734
2016-04-27,73.8508529663086,93.26216125488281
2016-04-28,72.8381576538086,92.12458801269531
2016-04-29,72.42558288574219,91.94448852539062
2016-05-02,73.56953430175781,92.68389892578125
2016-05-03,72.37869262695312,91.43257904052734
2016-05-04,72.26615905761719,91.24300384521484
2016-05-05,72.53810119628906,91.18610382080078
2016-05-06,72.87568664550781,91.65062713623047
2016-05-09,73.34449768066406,91.68854522705078
2016-05-10,74.26342010498047,92.5606689453125
2016-05-11,72.61022186279297,91.3946533203125
2016-05-12,73.16439819335938,90.8637924194336
2016-05-13,72.168701171875,90.39927673339844
2016-05-16,73.07987976074219,91.14815521240234
2016-05-17,72.13114166259766,90.62677764892578
2016-05-18,72.73229217529297,90.65522003173828
2016-05-19,72.21571350097656,89.77362823486328
2016-05-20,72.9577407836914,90.50354766845703
2016-05-23,72.52567291259766,90.13384246826172
2016-05-24,74.56401062011719,91.4610366821289
2016-05-25,74.263427734375,91.43257904052734
2016-05-26,74.20706176757812,91.36621856689453
2016-05-27,74.82701873779297,92.12458801269531
2016-05-31,74.15071105957031,90.91119384765625
2016-06-01,74.4137191772461,91.3946533203125
2016-06-02,75.09941101074219,91.84020233154297
2016-06-03,75.0900650024414,91.03443145751953
2016-06-06,75.65363311767578,91.6126937866211
2016-06-07,75.7099838256836,91.65062713623047
2016-06-08,76.69628143310547,92.89246368408203
2016-06-09,76.32994842529297,91.9729232788086
2016-06-10,75.3154525756836,90.25706481933594
2016-06-13,73.6434555053711,89.2901611328125
2016-06-14,73.80315399169922,89.21429443359375
2016-06-15,73.42741394042969,88.4843521118164
2016-06-16,73.59651184082031,89.18587493896484
2016-06-17,72.31900787353516,88.43694305419922
2016-06-20,72.64778900146484,89.44182586669922
2016-06-21,72.63839721679688,90.16230773925781
2016-06-22,71.88690948486328,89.16690063476562
2016-06-23,73.48377990722656,90.73106384277344
2016-06-24,70.49669647216797,86.71163940429688
2016-06-27,68.89044189453125,84.43646240234375
2016-06-28,70.60001373291016,85.71626281738281
2016-06-29,72.08415985107422,87.3373031616211
2016-06-30,69.67008972167969,83.47904968261719
2016-07-01,69.96129608154297,84.2279281616211
2016-07-05,70.1397476196289,83.64968872070312
2016-07-06,69.56676483154297,82.49065399169922
2016-07-07,69.98947143554688,83.4216537475586
2016-07-08,71.78357696533203,84.13420104980469
2016-07-11,71.87752532958984,84.3146743774414
2016-07-12,72.7792739868164,85.50220489501953
2016-07-13,72.76049041748047,85.82523345947266
2016-07-14,73.39921569824219,86.87972259521484
2016-07-15,73.54952239990234,86.38573455810547
2016-07-18,73.55892944335938,87.02225494384766
2016-07-19,73.94404602050781,87.76325988769531
2016-07-20,74.54523468017578,88.63731384277344
2016-07-21,74.00979614257812,87.83928680419922
2016-07-22,75.06184387207031,88.97930145263672
2016-07-25,74.15071105957031,88.35230255126953
2016-07-26,73.7280044555664,88.76078033447266
2016-07-27,73.76558685302734,89.06481170654297
2016-07-28,74.38553619384766,91.21186065673828
2016-07-29,73.314697265625,90.48033905029297
2016-08-01,73.511962890625,90.3188247680664
2016-08-02,73.5307388305664,90.48986053466797
2016-08-03,73.93465423583984,90.32833862304688
2016-08-04,74.65794372558594,91.11688995361328
2016-08-05,75.27789306640625,92.03837585449219
2016-08-08,75.09941101074219,91.94337463378906
2016-08-09,75.2027359008789,91.86735534667969
2016-08-10,74.8458023071289,91.47789764404297
2016-08-11,75.25909423828125,91.70588684082031
2016-08-12,75.16519165039062,91.31636047363281
2016-08-15,76.00120544433594,91.62039947509766
2016-08-16,75.90723419189453,90.84134674072266
2016-08-17,76.06722259521484,90.8128433227539
2016-08-18,75.5308609008789,90.50883483886719
2016-08-19,75.71907043457031,90.46134948730469
2016-08-22,76.27421569824219,91.00287628173828
2016-08-23,76.02954864501953,91.47789764404297
2016-08-24,75.54966735839844,90.75586700439453
2016-08-25,75.57791900634766,90.8128433227539
2016-08-26,75.81316375732422,91.64885711669922
2016-08-29,76.09546661376953,91.94337463378906
2016-08-30,76.37775421142578,92.23790740966797
2016-08-31,76.12369537353516,91.80088806152344
2016-09-01,76.50005340576172,92.74139404296875
2016-09-02,77.15873718261719,92.99790954589844
2016-09-06,77.65745544433594,93.85295867919922
2016-09-07,78.32553100585938,94.59395599365234
2016-09-08,78.07145690917969,94.98348236083984
2016-09-09,76.5282974243164,93.2448959350586
2016-09-12,78.07145690917969,95.10697937011719
2016-09-13,77.05520629882812,94.4229507446289
2016-09-14,76.6788558959961,93.77694702148438
2016-09-15,77.16814422607422,94.49895477294922
2016-09-16,77.22460174560547,94.39444732666016
2016-09-19,77.63861846923828,94.69847869873047
2016-09-20,77.61038208007812,95.46797943115234
2016-09-21,78.30670166015625,96.1994857788086
2016-09-22,78.43843841552734,97.01653289794922
2016-09-23,77.6668472290039,96.57950592041016
2016-09-26,76.97993469238281,96.10448455810547
2016-09-27,77.30928802490234,96.37998962402344
2016-09-28,78.07145690917969,96.4369888305664
2016-09-29,77.08344268798828,95.58198547363281
2016-09-30,77.81741333007812,96.68400573730469
2016-10-03,77.96794891357422,96.78852844238281
2016-10-04,77.84561157226562,96.16149139404297
2016-10-05,78.42903900146484,97.46546936035156
2016-10-06,78.43843841552734,97.97947692871094
2016-10-07,77.98678588867188,97.32271575927734
2016-10-10,78.21259307861328,97.70343017578125
2016-10-11,77.19636535644531,96.4660873413086
2016-10-12,77.39395904541016,96.47561645507812
2016-10-13,77.03639221191406,95.79978942871094
2016-10-14,77.5821533203125,96.01873016357422
2016-10-17,77.29988098144531,95.99015045166016
2016-10-18,76.76354217529297,96.82777404785156
2016-10-19,77.92090606689453,97.77959442138672
2016-10-20,77.62921142578125,97.6082763671875
2016-10-21,77.48805236816406,97.89378356933594
2016-10-24,78.2596435546875,98.2174301147461
2016-10-25,77.18696594238281,97.92231750488281
2016-10-26,76.92350006103516,98.2459716796875
2016-10-27,77.08344268798828,98.6076431274414
2016-10-28,77.3657455444336,101.74864196777344
2016-10-31,77.63861846923828,101.86283874511719
2016-11-01,76.80117797851562,99.90214538574219
2016-11-02,75.82258605957031,98.98838806152344
2016-11-03,75.88843536376953,98.77897644042969
2016-11-04,75.61555480957031,98.06510925292969
2016-11-07,77.63861846923828,100.85391235351562
2016-11-08,77.98678588867188,100.60646057128906
2016-11-09,78.32553100585938,101.07284545898438
2016-11-10,77.03639221191406,99.46426391601562
2016-11-11,77.04580688476562,99.5785140991211
2016-11-14,73.75243377685547,96.26618957519531
2016-11-15,73.93123626708984,97.5416259765625
2016-11-16,75.5106430053711,98.98838806152344
2016-11-17,76.44416046142578,99.41670227050781
2016-11-18,76.20842742919922,99.73080444335938
2016-11-21,77.02881622314453,100.83487701416016
2016-11-22,75.36922454833984,100.82534790039062
2016-11-23,75.02975463867188,99.52136993408203
2016-11-25,75.55782318115234,100.63501739501953
2016-11-28,74.5677490234375,98.37921905517578
2016-11-29,74.63368225097656,98.8170394897461
2016-11-30,72.90814971923828,97.2751235961914
2016-12-01,71.1259994506836,95.35246276855469
2016-12-02,71.39944458007812,96.22811126708984
2016-12-05,72.89871215820312,98.56006622314453
2016-12-06,72.71014404296875,97.08477783203125
2016-12-07,74.78459167480469,100.17816162109375
2016-12-08,74.75629425048828,99.76887512207031
2016-12-09,74.62430572509766,99.37862396240234
2016-12-12,74.02080535888672,98.30306243896484
2016-12-13,74.68087768554688,98.34114074707031
2016-12-14,74.61486053466797,98.30306243896484
2016-12-15,74.96378326416016,99.32149505615234
2016-12-16,73.87937927246094,98.44583892822266
2016-12-19,73.64361572265625,98.55055236816406
2016-12-20,73.8888168334961,99.50237274169922
2016-12-21,73.68135833740234,99.15017700195312
2016-12-22,73.45503997802734,99.2834243774414
2016-12-23,73.69078826904297,99.66415405273438
2016-12-27,73.87937927246094,99.74983978271484
2016-12-28,73.83222961425781,98.68379211425781
2016-12-29,73.86051177978516,98.76945495605469
2016-12-30,73.56819152832031,98.2745132446289
2017-01-03,74.96378326416016,100.31139373779297
2017-01-04,75.57667541503906,101.26319885253906
2017-01-05,76.46304321289062,102.0453109741211
2017-01-06,77.51911163330078,102.77973937988281
2017-01-09,77.08538818359375,102.57942199707031
2017-01-10,76.67047882080078,102.36006927490234
2017-01-11,77.13255310058594,102.82742309570312
2017-01-12,76.72708129882812,103.68582916259766
2017-01-13,76.5384750366211,103.67626953125
2017-01-17,76.62332153320312,103.39015197753906
2017-01-18,76.9344711303711,103.63813018798828
2017-01-19,77.06652069091797,103.51412963867188
2017-01-20,77.17022705078125,104.87806701660156
2017-01-23,77.46256256103516,104.56329345703125
2017-01-24,78.48091888427734,104.83988189697266
2017-01-25,79.1126708984375,105.097412109375
